GTIN,상품분류코드,상품분류명,상품명(대표),상품명(국문),상품명(영문),상품명(기타),품목명,모델명,제품번호,회사정보,수입 상품 구분,국가정보,브랜드 소유회사,브랜드명,상품 단위,규격정보,상품 구성,포장단위별 수량,순중량(Net Weight),총중량(Gross Weight),가로(cm),세로(cm),높이(cm),과세형태,상품 형태,상품 포장 재질,분리배출표시,성인용 상품 여부,어린이용 상품 여부,보관 취급 주의사항,AS책임자(반품/교환주소),전화번호(교환문의),마케팅 문구,기타,원재료 전체텍스트,등록일시,수정일시,보정이미지 1000 JPG,보정이미지 1000 PNG,썸네일 250 JPG,썸네일 250 PNG,영양성분,특징(138829),최소연령(139040),낱개사이즈(139050),쿠션층(139051),형태(139052),기본구성(139073),조절기능(139074),브레이크(139075),특징(139082),매수(139160),두께(cm)(139264),바퀴수(139446),사용체중(kg)(139462),프레임(139480),색상(139546),음색(139647),출력(139648),건반수(139710),건반종류(139711),스케일(139746),캐릭터명(139786),방식(139952),구분(139969),용도(139970),사이즈(140012),프랭클린플래너 사이즈(140168),평량(g)(140181),출시(140198),재질(매트)(140222),특징(140223),표시자리(140301),형태(140309),바퀴(140378),조각수(개)(140403),저자(140667),출판사(140668),쪽수(140669),출간일(140671),정격전압(140674),세탁방법(140702),KC인증번호(140740),사용방법(140746),유통기간/품질유지기간(140807),KC인증 필 유무(140856),인쇄 발행일(140860),게임방법(140861),게임 구성품(140862),사용연령(140864),발행인(140865),KC인증정보(140870),재질/원료/성분명(140878),용도(140902),홈페이지 주소(140903),내열온도(140905),내냉온도(140906),영업신고(허가)번호(140921),인증/상세정보(140923),인증(140933),품질보증기간(140940),자가검사번호(140943),종류(140952),제조년월(140958),섬유제품 취급에 관한 표시(140959),최대하중(140961),섬유의 조성 및 혼용율(140962),제품특징(140963),사용용도(140964),가격(140966),길이(mm)(140968),보존제(140972),안전기준적합확인신고번호(140975),제형(140976),주요물질(140980),기타물질(140982),계면활성제(140983)
8801038132068,6010206,교육/문화용품>문구/사무용품>일반사무용품>커터칼,DORCO 커터 C4기,커터 C4기,DORCO cutter C4,,,,DC84,"구분=제조/생산|:|이름=(주)도루코 (Ningbo, China)|:|주소=서울시 구로구 경인로 323
구분=판매|:|이름=I주I도루코리빙|:|주소=서울시 구로구 경인로 323",수입제품,"원산지=대한민국(국산),중국",(주)도루코리빙,도루코|:|DORCO|:|도루코리빙|:|DORCO LIVING,단일,,,1,,,,,,,블리스터팩형,,"종이,플라스틱(페트/PET)",N,N,"[[주의하세요]]
# 칼날이 매우 예리하므로 신체를 향하지 않도록 하십시오.
# 사용 후 안전을 위하여 칼날을 후진시켜 놓으십시오.
# 어린이 손에 닿지 않는 곳에 보관하십시오.
# 칼날절단 시 몸의 바깥쪽 아래로 향하게 하고 사람을 향해서는 자르지 마십시오.
# 칼날절단은 스냅퍼를 이용해 자르십시오.
# 습기가 많은 곳에 보관시 녹이 발생할 수 있으므로 주의해 주십시오.",,080-022-3211,"# 돌림형 고정장치
# 견고한 커터!
# SINCE 1955
# Width : 100mm
# Height : 18mm
# Breadth : 0.4mm",,,2018-12-28 16:43:26,2023-05-23 15:33:52,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb73200f7-541d-4436-85ea-956547b59a8e%2Fb73200f7-541d-4436-85ea-956547b59a8e_front_angle_1000.jpg?alt=media&token=31189def-1737-450d-8f05-a2ac06177074,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb73200f7-541d-4436-85ea-956547b59a8e%2Fb73200f7-541d-4436-85ea-956547b59a8e_front_angle_1000.png?alt=media&token=07af0d19-4f9c-4169-beea-2aeeb91ba4cd,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb73200f7-541d-4436-85ea-956547b59a8e%2Fb73200f7-541d-4436-85ea-956547b59a8e_front_angle_250.jpg?alt=media&token=508929c3-b1f3-4022-af10-56c7f092d109,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb73200f7-541d-4436-85ea-956547b59a8e%2Fb73200f7-541d-4436-85ea-956547b59a8e_front_angle_250.png?alt=media&token=9bd41d84-6304-4673-9304-d99f283e977a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[커터 C4기의 사용방법]]
# 칼날이 잘 들지 않으면
_ 마개의 절단 홈으로 칼날의 한 피치를 자르면 다시 날카로운 칼날을 사용할 수 있습니다.
# 칼날을 교환할 때
_ 마개와 밀대를 빼낸 후 새로운 칼날로 교환하십시오.
# 칼날고정
_ 밀대를 전진시키면 칼날이 나오고, 밀대를 시계 방향으로 돌리면 칼날이 고정됩니다.",,N,,,,,,,재질 :: ABS플라스틱+스테인레,,www.dorcoliving.co.kr,,,,,,,,,,,,,,,,,,,,,,
8809031258709,6010208,교육/문화용품>문구/사무용품>일반사무용품>접착테이프,투명점착테이프(A001-4147),투명점착테이프,WINNER Adhesive Tape,,투명점착테이프,,A001-4147,구분=제조/판매|:|이름=(주)금성케이앤티|:|주소=경기도 광주시 오포읍 수렁개길 25,수입제품,원산지=중국,(주)금성케이앤티,WINNER|:|금성케이.앤.티,단일,규격=약48mm,,1,,,,,,,기타유형,,비닐류(PVC),N,N,,구입처 또는 본사 사무소,02-577-0793 ((주)금성케이앤티),,"# 품번 : A001-4147
",,2018-12-30 15:24:15,2020-09-04 11:05:13,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa7134965-664c-4bc3-b554-9f51aab59e11%2Fa7134965-664c-4bc3-b554-9f51aab59e11_front_angle_1000.jpg?alt=media&token=b388bb92-dd44-4039-b8c2-d1ba5a65254f,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa7134965-664c-4bc3-b554-9f51aab59e11%2Fa7134965-664c-4bc3-b554-9f51aab59e11_front_angle_1000.png?alt=media&token=24dd3405-f3b6-4f7a-b0d4-71e6d7206794,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa7134965-664c-4bc3-b554-9f51aab59e11%2Fa7134965-664c-4bc3-b554-9f51aab59e11_front_angle_250.jpg?alt=media&token=f2a960f5-a843-4682-9ff2-04b843888eb3,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa7134965-664c-4bc3-b554-9f51aab59e11%2Fa7134965-664c-4bc3-b554-9f51aab59e11_front_angle_250.png?alt=media&token=00073b81-23c1-4b87-bc7b-35d854f00c7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,재질 :: OPP,박스포장용테이프,,,,,,,,,,,,,,,,,,,,,,,
8801038131245,6010206,교육/문화용품>문구/사무용품>일반사무용품>커터칼,도루코 컷터A날(20입),S커터날 (20입),SMALL SIZE BLADE(20PCS),소형 커터날,,,,"구분=제조/생산|:|이름=l주l도루코리빙|:|주소=
구분=수입판매|:|이름=l주l도루코리빙|:|주소=서울시 구로구 경인로 323",수입제품,원산지=베트남,(주)도루코리빙,도루코|:|DORCO,단일,용량=20입,,2,,59.0,6.5,16.0,1.0,,기타유형,,"종이,플라스틱(페트/PET)",N,N,"[[주의 하세요]]
# 칼날이 매우 예리하므로 신체를 향하지 않도록 하십시오.
# 사용 후 안전을 위하여 칼날을 후진시켜 놓으십시오.
# 어린이 손에 닿지 않는 곳에 보관하십시오.
# 칼날 절단 시 몸의 바깥쪽 아래로 향하게 하고 사람을 향해서는 자르지 마십시오.
# 칼날 절단은 스냅퍼를 이용해 자르십시오.
# 습기가 많은 곳에 보관시 녹이 발생할 수 있으므로 주의해 주십시오.",,080-022-3211,,,,2019-09-26 13:56:01,2020-04-07 14:49:39,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98_front_angle_1000.jpg?alt=media&token=3ac0668f-9eac-41ba-a61c-5139511164cf,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98_front_angle_1000.png?alt=media&token=b78074f2-2973-4381-9f79-48f665f73ef0,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98_front_angle_250.jpg?alt=media&token=20d2365a-961b-4df6-a91f-ad1163baca65,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98%2Fdeec5762-cf95-472c-ac86-c1e2f8fb7b98_front_angle_250.png?alt=media&token=d1d0a66a-355d-44f2-b726-591c50f9249e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,www.dorcoliving.co.kr,,,,,,,,,,,,,,,,,,,,,,
8809129971237,6019999,교육/문화용품>문구/사무용품>기타문구/사무용품>기타문구/사무용품,고무월드 흑고무줄,흑고무줄,,,,,,구분=업소/업자|:|이름=왕자고무공업사|:|주소=경남 창원시 마산합포구 월영남18길 16,국내제품,제조국=대한민국(국산),왕자고무공업사,고무월드|:|GOMU WORLD|:|Rubber World,단일,,,1,,27.5,7.0,25.0,1.5,,봉지형,포장재질 :: 오리엔탈폴리프로필렌,비닐류(OTHER),N,N,"[[주의]]
# 직사광선이나 고열의 장소를 피하시오.",,"055-223-1103 (왕자고무공업사), 055-247-1104 (왕자고무공업사)","# 문구용/사무용/포장용/교재용
# 고무밴드
# 각종 선물포장 할때 사용하세요.
# 헤어를 연출할때 사용하세요.
# 책이나 파일등을 묶을 때 사용하세요.
# CD나 디스켓을 묶을 때 사용하세요.
# 생고무밴드
# 고무골무·샤크
# 장독용고무밴드
# 마루 베고무
# 귀저기 고무
# 특수고무제품",,,2023-03-09 17:50:01,2023-03-22 07:00:07,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F400af829-46be-422e-0bdc-5a45b3be9d89%2F400af829-46be-422e-0bdc-5a45b3be9d89_front_angle_1000.jpg?alt=media&token=acf55dce-7d76-4c23-97ce-ca5bdfe1b214,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F400af829-46be-422e-0bdc-5a45b3be9d89%2F400af829-46be-422e-0bdc-5a45b3be9d89_front_angle_1000.png?alt=media&token=a85e18d4-0f03-472d-9b26-df7f6cb32069,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F400af829-46be-422e-0bdc-5a45b3be9d89%2F400af829-46be-422e-0bdc-5a45b3be9d89_front_angle_250.jpg?alt=media&token=844fee19-0df6-4b5b-bd77-a6ca375d680f,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F400af829-46be-422e-0bdc-5a45b3be9d89%2F400af829-46be-422e-0bdc-5a45b3be9d89_front_angle_250.png?alt=media&token=cda1f0b9-911f-4e0e-ba74-5f2bfa0cfbfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8809201450001,6019999,교육/문화용품>문구/사무용품>기타문구/사무용품>기타문구/사무용품,모텍스 가격표시기 MX-5500 PLUS 6열,모텍스 가격표시기 MX-5500 PLUS 6열,MOTEX MX-5500 PLUS Hand labeller 6 Digits,모텍스 라벨기 MX-5500 PLUS 6열,,,,"구분=업소/업자|:|이름=MOTEX PRODUCTS CO., LTD|:|주소=",국내제품,제조국=대한민국(국산),"MOTEX PRODUCTS CO., LTD",MOTEX|:|모텍스,단일,크기=12mm x 22mm,"MX-5500 PLUS 6 Digits 1개, 라벨 용지 1롤 (500매±2%)",1,,350.0,23.3,5.8,13.3,,육면체형,,,N,N,,,"02-2274-2257 (MOTEX PRODUCTS CO., LTD)","# 모텍스 가격표시기는 세계 80여개국에 수출하고 있으며, 각종 특허와 정부로 부터 EM 마크 인증 및 세계 우수 자본재로 지정받은 최고의 제품입니다.","# MOTEX
_ EST. 1975
# 제품 사양
_ 문자열 (6열)
# 유투브 : MOTEX
# 인스타그램 : @motex_official
# 페이스북 : @motex.official
# Copyright ⓒ MOTEX All right reserved
# 특허 No.99887 호",,2023-03-13 15:18:02,2023-03-25 07:00:07,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995_front_angle_1000.jpg?alt=media&token=7ec14ffd-1831-4800-97b5-44fc0bcebb88,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995_front_angle_1000.png?alt=media&token=cb7a0cfd-49ee-4b14-8057-b910aaaa9b97,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995_front_angle_250.jpg?alt=media&token=ce59a0dd-ec29-42d3-90b6-df6cf43974cc,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995%2F7ba7f3de-ed8a-4d5f-b285-9367d163e995_front_angle_250.png?alt=media&token=46d1f606-076b-4b15-a18f-edd5211a7422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,www.motex.co.kr,,,,,세계일류상품 인증,,,,,,,,,,,,,,,,,
8801235360097,6010208,교육/문화용품>문구/사무용품>일반사무용품>접착테이프,LOTTE ALUMINIUM 발포양면 테이프 20mm(±1) x 2M,발포양면 테이프,DOUBLE-SIDED TAPE,,발포양면 테이프,,,"구분=판매|:|이름=롯데알미늄(주)|:|주소=서울특별시 금천구 벚꽃로 104, 11-18층 (독산동, 금천롯데타워)",국내제품,제조국=대한민국(국산),롯데알미늄(주),LOTTE ALUMINIUM|:|e.Life,단일,규격=20mm(±1) x 2M,,1,,25.0,9.5,2.3,14.5,,블리스터팩형,,플라스틱(페트/PET),N,N,"[[주의사항]]
# 직사광선을 피해 주십시오.",본사 및 구입처,080-200-8019,# 가벼운 물건 및 장식물을 벽 또는 차량에 부착할때 사용,,,2023-03-20 09:25:22,2023-04-07 07:00:07,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b_front_angle_1000.jpg?alt=media&token=4f3b350f-8c2d-450f-8861-74d78ba56e78,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b_front_angle_1000.png?alt=media&token=50c9ac78-dd76-43a7-a361-7244d68a0fc9,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b_front_angle_250.jpg?alt=media&token=e77c4b39-c58f-42ff-9c35-01083d89224b,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b%2F3f48ecd1-c62c-4520-4b39-406fa2b0ec8b_front_angle_250.png?alt=media&token=08429aa5-f7dd-4234-baf7-ec6cded182b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[사용방법]]
# 적당한 양을 잘라 피착면에 붙이고 이면지를 벗긴 후 접착물을 밀착",,N,,,,,,,재질 :: PE,"# 사무실, 학교, 가정 등에서 사용",www.lotteelife.co.kr,,,,,,,,,,,,,,,,,,,,,,
8801038131122,6010206,교육/문화용품>문구/사무용품>일반사무용품>커터칼,DORCO 커터 C5기,커터 C5기,cutter C5,,,DC85,,"구분=제조/생산|:|이름=(주)도루코 (Ningbo, China)|:|주소=
구분=판매|:|이름=I주I도루코리빙|:|주소=서울시 구로구 경인로 323",수입제품,"원산지=대한민국(국산),중국",I주I 도루코리빙,DORCO|:|도루코,단일,"(규격)=Width : 100mm, Height 18mm, Breadth : 0.4mm",,1,,60.0,10.0,8.0,24.0,,블리스터팩형,,"종이,플라스틱(페트/PET)",N,N,"[[주의하세요]]
# 칼날이 매우 예리하므로 신체를 향하지 않도록 하십시오.
# 사용 후 안전을 위하여 칼날을 후진시켜 놓으십시오.
# 어린이 손에 닿지 않는 곳에 보관하십시오.
# 칼날 절단 시 몸의 바깥쪽 아래로 향하게 하고 사람을 향해서는 자르지 마십시오.
# 칼날 절단은 스냅퍼를 이용해 자르십시오.
# 습기가 많은 곳에 보관시 녹이 발생할 수 있으므로 주의해 주십시오.",,080-022-3211,"# 인체공학적 설계
# 칼날 자동 고정장치
# 자동 고정장치
_ 자동고정장치로 인해 날이 밀리지 않아, 편하고 안전하게 사용할 수 있습니다.","# DORCO
_ SINCE 1955
# 원산지 : 커터날(한국), 커터기(중국)",,2023-05-09 14:58:13,2023-05-12 07:00:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa_front_angle_1000.jpg?alt=media&token=4aa4ab33-25d7-4f94-9129-c52b04dccb31,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa_front_angle_1000.png?alt=media&token=5d324595-e45b-417e-9cdd-24ef9477ed12,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa_front_angle_250.jpg?alt=media&token=be4aa9c1-2d35-4d8a-9ffa-9ef4bd26c6c8,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa%2Fc454b148-fa7b-42dd-6eac-17cde45dcbfa_front_angle_250.png?alt=media&token=238337da-7745-4d8a-9a60-91aafc355bf5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[커터 C5기의 사용방법]]
# 칼날이 잘 들지 않으면
_ 마개의 절단 홈으로 칼날의 한 피치를 자르면 다시 날카로운 칼날을 사용할 수 있습니다.
# 칼날을 교환할 때
_ 마개와 밀대를 빼낸 후 새로운 칼날로 교환하십시요.",,N,,,,,,,재질 :: ABS수지,,www.dorcoliving.co.kr,,,,,,,,,,,,,,,,,,,,,,
8801038130019,6010206,교육/문화용품>문구/사무용품>일반사무용품>커터칼,DORCO LIVING S101 커터기 9mm,S101 커터기,,,,,,"구분=제조/생산|:|이름=(주)도루코리빙 (DORCO LIVING VINA CO.,LTD)|:|주소=
구분=수입판매|:|이름=(주)도루코리빙|:|주소=서울시 서초구 효령로 70길 36-9",수입제품,원산지=베트남,(주)도루코리빙,DORCO|:|DORCO LIVING|:|도루코리빙,단일,사이즈=9mm,,1,,27.5,3.9,0.9,19.6,,기타유형,,비닐류(PP),N,N,"[[주의 하세요]]
# 칼날이 매우 예리하므로 신체를 향하지 않도록 하십시오.
# 사용 후 안전을 위하여 칼날을 후진시켜 놓으십시오.
# 어린이 손에 닿지 않는 곳에 보관하십시오.
# 칼날 절단 시 몸의 바깥쪽 아래로 향하게 하고 사람을 향해서는 자르지 마십시오.
# 칼날 절단은 스냅퍼를 이용해 자르십시오.
# 습기가 많은 곳에 보관시 녹이 발생할 수 있으므로 주의해 주십시오.
# 제품 절단 및 교체 시 다칠 수 있으므로 사용 시 보호장구(장갑, 보호안경 등)를 착용하십시오.",,080-022-3211,"# SMALL SIZE
# 소형 커터
# 고품질 3단 연마
# 자동 고정장치
# 칼날이 잘 들지 않으면
_ 마개의 절단 홈으로 칼날의 한 피치를 자르면 다시 날카로운 칼날을 사용할 수 있습니다.
# 자동 고정장치
_ 자동 고정장치로 인해 날이 밀리지 않아, 편하고 안전하게 사용할 수 있습니다.","# DORCO PRODUCT
_ Professional Edge
__ SINCE 1955
# Designed in Korea",,2023-06-09 14:52:27,2023-06-20 07:00:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F9df57822-bfd7-4450-d750-30478b4ca980%2F9df57822-bfd7-4450-d750-30478b4ca980_front_angle_1000.jpg?alt=media&token=535516de-1901-4e96-b12d-9b66f009d176,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F9df57822-bfd7-4450-d750-30478b4ca980%2F9df57822-bfd7-4450-d750-30478b4ca980_front_angle_1000.png?alt=media&token=f753e072-f4f9-4592-bb3b-0c98af89e089,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F9df57822-bfd7-4450-d750-30478b4ca980%2F9df57822-bfd7-4450-d750-30478b4ca980_front_angle_250.jpg?alt=media&token=0c36ef5b-5689-44c1-88df-4cd7f27c2525,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F9df57822-bfd7-4450-d750-30478b4ca980%2F9df57822-bfd7-4450-d750-30478b4ca980_front_angle_250.png?alt=media&token=d7b19a91-fb55-4220-9214-df9f72dd8504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,www.dorcoliving.co.kr,,,,,,,,,,,,,,,,,,,,,,
8805904000031,6020199,교육/문화용품>완구>게임>기타게임,코주부 복개미 고급 화투,코주부복개미,,코주부 복개미 고스톱,,,,구분=업소/업자|:|이름=협동사|:|주소=,국내제품,제조국=대한민국(국산),협동사,코주부복개미,단일,,,1,,140.0,4.5,5.0,6.4,,육면체형,,,N,N,"[[기타 주의사항]]
# 무단 모방을 금합니다.",,,# 본제품은 최고급 재질로 제작된 제품입니다.,"# 상표등록 58576
# 상표등록 348933
# 의장등록 0237861
# 실용신안 0145989
# 실용신안 0143279",,2023-06-23 15:02:16,2023-07-07 07:00:07,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F07511d80-be82-4607-fa77-1cf592a9c14b%2F07511d80-be82-4607-fa77-1cf592a9c14b_front_angle_1000.jpg?alt=media&token=d0e13b1d-364a-49e3-b71b-76aa29afd2f8,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F07511d80-be82-4607-fa77-1cf592a9c14b%2F07511d80-be82-4607-fa77-1cf592a9c14b_front_angle_1000.png?alt=media&token=047ce5b6-9869-4e64-bc33-e44ab175dd62,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F07511d80-be82-4607-fa77-1cf592a9c14b%2F07511d80-be82-4607-fa77-1cf592a9c14b_front_angle_250.jpg?alt=media&token=bcd13989-192c-453e-a1e7-726ca48488b8,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F07511d80-be82-4607-fa77-1cf592a9c14b%2F07511d80-be82-4607-fa77-1cf592a9c14b_front_angle_250.png?alt=media&token=8875e081-f78f-46ad-957e-ee2e5ea2728f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,재질 :: 플라스틱외,,,,,,,,,,,,,,,,,,,,,,,,
8809192295025,6010208,교육/문화용품>문구/사무용품>일반사무용품>접착테이프,대성테이프 양면점착테이프,양면점착테이프,Double side Coated Adhesive Tape,,양면점착테이프,,,구분=제조/판매|:|이름=대성테이프|:|주소=,국내제품,제조국=대한민국(국산),대성테이프,대성테이프|:|DAESUNG TAPE,단일,,,1,,100.0,9.5,9.5,4.5,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 고온다습한 곳은 피하고 겨울철에는 실내에서 보관하십시오.",구입처 및 판매처,055-326-5388 (대성테이프),,# E-mail : dseong5388@naver.com,,2023-06-27 15:04:35,2023-07-11 07:00:07,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177_front_angle_1000.jpg?alt=media&token=18ae5ed1-f733-4b1a-959a-b4b2d2dbc937,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177_front_angle_1000.png?alt=media&token=1288b6ba-cd7b-4d0e-b36f-0fc694745951,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177_front_angle_250.jpg?alt=media&token=2c532111-5ae7-47ad-8830-fe8e084f9cb2,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177%2Fa8bcffee-481a-48b6-9b6c-b5c97e608177_front_angle_250.png?alt=media&token=c61f71f2-a435-49bb-8e0e-7a99643f26d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,"# 게시판 고정용, 사무실, 가정용 소품고정 및 앨범등에 사용",,,,,,,,,,,,,,,,,,,,,,,
