GTIN,상품분류코드,상품분류명,상품명(대표),상품명(국문),상품명(영문),상품명(기타),품목명,모델명,제품번호,회사정보,수입 상품 구분,국가정보,브랜드 소유회사,브랜드명,상품 단위,규격정보,상품 구성,포장단위별 수량,순중량(Net Weight),총중량(Gross Weight),가로(cm),세로(cm),높이(cm),과세형태,상품 형태,상품 포장 재질,분리배출표시,성인용 상품 여부,어린이용 상품 여부,보관 취급 주의사항,AS책임자(반품/교환주소),전화번호(교환문의),마케팅 문구,기타,원재료 전체텍스트,등록일시,수정일시,보정이미지 1000 JPG,보정이미지 1000 PNG,썸네일 250 JPG,썸네일 250 PNG,영양성분,부가기능(138677),렌즈색상(138768),자외선 차단기능(138769),렌즈종류(138770),선글라스종류(138771),길이(138773),주요소재(138774),장식(138775),주요소재(138776),종류(138777),갑피(138778),스마트폰 수납(138779),주요소재(138780),사이즈(138781),수하물규격(138782),솔(밑창) 재질(138783),주요소재(캐리어)(138784),종류(138785),부가특징(138786),부츠종류(138788),노트북수납(138789),토스타일(138790),프레임소재(138813),프레임형태(138814),종류(138815),헤어색상(138818),가발 종류(138819),아웃솔(138820),색상(138821),부가기능(138822),패턴(138830),주요소재(138832),안감(138840),주요소재(신발)(138844),굽높이(cm)(138958),모자 종류(138997),최소연령(139040),성별/연령(139132),색상(139546),부가기능(139553),최대 기압방수(139554),케이스 소재(139555),장식(139556),버클(139557),쿼츠 종류(139559),무브먼트(139560),글래스 소재(139561),케이스 모양(139562),밴드 소재(139563),스타일(139564),종류(139566),방식(139567),발목높이(139602),주요특징(139603),캐릭터명(139786),손 구분(139830),아이템(139836),장식(139859),아이템(139860),길이(139861),굽타입(139862),용도(139865),제품 소재(140698),세탁방법(140702),KC인증번호(140740),사용방법(140746),KC인증 필 유무(140856),사용연령(140864),KC인증정보(140870),재질/원료/성분명(140878),용도(140902),홈페이지 주소(140903),내열온도(140905),내냉온도(140906),영업신고(허가)번호(140921),인증(140933),품질보증기간(140940),종류(140952),제조년월(140958),섬유제품 취급에 관한 표시(140959),섬유의 조성 및 혼용율(140962),제품특징(140963),사용용도(140964),가격(140966)
8809404601095,11020303,패션잡화>남성신발>스니커즈/슬립온/슬리퍼>슬리퍼,형제 PVC 쿠션왕 삼선 슬리퍼 260mm,PVC 쿠션왕 삼선 슬리퍼 260mm,Slipper,,삼선슬리퍼,,,"구분=제조/생산|:|이름=형제|:|주소=
구분=판매|:|이름=형제|:|주소=",국내제품,제조국=대한민국(국산),형제,,단일,(규격)=260mm,,1,,510.0,42.0,12.8,7.0,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 화기주의, 미끄럼 주의",,,,,,2022-04-22 16:01:40,2022-06-29 09:38:41,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F1113e0c7-1b50-4d76-74a7-6c820d398967%2F1113e0c7-1b50-4d76-74a7-6c820d398967_front_angle_1000.jpg?alt=media&token=04401c25-5fda-4f1f-b38c-32ae5742662e,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F1113e0c7-1b50-4d76-74a7-6c820d398967%2F1113e0c7-1b50-4d76-74a7-6c820d398967_front_angle_1000.png?alt=media&token=9deb2939-52da-48ea-ab96-353110154b6d,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F1113e0c7-1b50-4d76-74a7-6c820d398967%2F1113e0c7-1b50-4d76-74a7-6c820d398967_front_angle_250.jpg?alt=media&token=ee3c8062-af36-4914-900d-44fed1f80bd8,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F1113e0c7-1b50-4d76-74a7-6c820d398967%2F1113e0c7-1b50-4d76-74a7-6c820d398967_front_angle_250.png?alt=media&token=61230a5b-0acf-43f7-a04e-9efdb992fb89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC,,,,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재질 :: PVC,,,,,,,,,,,,,,
8809404601071,11060508,패션잡화>여성신발>샌들/슬리퍼>슬리퍼,진양 PVC 쿠션왕 삼선 슬리퍼 240mm,PVC 쿠션왕 삼선 슬리퍼 240mm,,,PVC 쿠션왕 삼선 슬리퍼,,,구분=제조/생산|:|이름=주식회사 진양|:|주소=경기도 양주시 은현면 그루고개로 306-21,국내제품,제조국=대한민국(국산),주식회사 진양,,단일,규격=240mm,,1,,443.0,37.0,17.5,6.5,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 기름 및 물기가 많은 곳에서는 미끄럼에 주의하시기 바랍니다.
# 직사광선, 화기, 열기 등에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 제품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,031-765-2215,,"# 재질 : PVC
# 사용연령 : 만 14세 이상
# 내열·내냉온도 : 100℃~-40℃",,2022-04-22 16:05:09,2022-06-29 09:41:05,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09_front_angle_1000.jpg?alt=media&token=1f0ce100-914b-479f-a5eb-57b053c0ad6b,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09_front_angle_1000.png?alt=media&token=2dce13a1-b065-411f-9640-96bb50fc5ef3,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09_front_angle_250.jpg?alt=media&token=7b106f00-fb70-4cab-b8ce-d8cba6c9579f,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09%2F632ae656-f7d7-4823-c67c-2b8d66a4fe09_front_angle_250.png?alt=media&token=21212c34-67be-43a2-8cff-39cd2d8b4c2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,
8809404601088,11060508,패션잡화>여성신발>샌들/슬리퍼>슬리퍼,진양 PVC 쿠션왕 삼선 슬리퍼 250mm,PVC 쿠션왕 삼선 슬리퍼 250mm,,,PVC 쿠션왕 삼선 슬리퍼,,,구분=제조/생산|:|이름=주식회사 진양|:|주소=경기도 양주시 은현면 그루고개로 306-21,국내제품,제조국=대한민국(국산),주식회사 진양,,단일,규격=250mm,,1,,511.0,38.8,12.8,7.5,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 기름 및 물기가 많은 곳에서는 미끄럼에 주의하시기 바랍니다.
# 직사광선, 화기, 열기 등에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 제품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,031-765-2215,,"# 재질 : PVC
# 사용연령 : 만 14세 이상
# 내열·내냉온도 : 100℃~-40℃",,2022-04-22 16:06:50,2022-06-29 09:42:32,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7_front_angle_1000.jpg?alt=media&token=1a10ddcc-2e73-411e-a13f-259341213736,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7_front_angle_1000.png?alt=media&token=38beacf7-17a6-4d30-b40e-1465206fa478,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7_front_angle_250.jpg?alt=media&token=f74abbc6-58b9-48c3-8576-f89a3d465105,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7%2Fe9e31060-9af7-4c52-a4d6-4b8196a0c1b7_front_angle_250.png?alt=media&token=d7d35e3c-6c7f-4c4d-909a-8ae477846d8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,
8809404601101,11020303,패션잡화>남성신발>스니커즈/슬립온/슬리퍼>슬리퍼,형제 PVC 쿠션왕 삼선 슬리퍼 260mm,PVC 쿠션왕 삼선 슬리퍼 270mm,,,삼선슬리퍼,,,"구분=제조/생산|:|이름=형제|:|주소=
구분=판매|:|이름=형제|:|주소=",국내제품,제조국=대한민국(국산),형제,,단일,(규격)=270mm,,1,,655.0,40.4,14.0,6.3,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 화기주의
# 미끄럼 주의",,,,,,2022-04-22 16:09:03,2022-06-29 09:44:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf_front_angle_1000.jpg?alt=media&token=59733b39-3fcf-4868-9080-7f5c59bf0bfe,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf_front_angle_1000.png?alt=media&token=a47f1a85-9e00-48a5-9f24-6337d73b6e16,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf_front_angle_250.jpg?alt=media&token=e4f68750-4caa-4dbe-a249-78bc295f0083,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf%2F6522aff4-7e64-43f3-4fb0-2738ab4c97cf_front_angle_250.png?alt=media&token=d1264321-8906-460a-9d3d-cc63539e086e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC,,,,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재질 :: PVC,,,,,,,,,,,,,,
8809404601118,11020303,패션잡화>남성신발>스니커즈/슬립온/슬리퍼>슬리퍼,진양 PVC 쿠션왕 삼선 슬리퍼 280mm,PVC 쿠션왕 삼선 슬리퍼 280mm,,,PVC 쿠션왕 삼선 슬리퍼,,,구분=제조/생산|:|이름=주식회사 진양|:|주소=경기도 양주시 은현면 그루고개로 306-21,국내제품,제조국=대한민국(국산),주식회사 진양,,단일,규격=280mm,,1,,562.0,41.2,11.0,6.5,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 기름 및 물기가 많은 곳에서는 미끄럼에 주의하시기 바랍니다.
# 직사광선, 화기, 열기 등에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 제품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,031-765-2215,,"# 재질 : PVC
# 사용연령 : 만 14세 이상
# 내열·내냉온도 : 100℃~-40℃",,2022-04-22 16:11:04,2022-06-29 09:45:46,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84_front_angle_1000.jpg?alt=media&token=dc45fd75-c130-4435-b88c-fed7cd0f9ac0,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84_front_angle_1000.png?alt=media&token=62a1ef8b-1e53-4739-ba5a-da41cdf39c6c,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84_front_angle_250.jpg?alt=media&token=a39a5698-abb5-4a07-a17e-e1ec4d4d4e9d,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84%2Fb9de1bb4-a411-473b-eb02-f6d8f9cf5c84_front_angle_250.png?alt=media&token=ebf66ded-c134-4ef9-bdb4-be972338922b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC,,,,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,재질 :: PVC,,,,,,,,,,,,,,
8809013610570,11080102,패션잡화>장갑>장갑/암워머/토시>암워머/토시,후디스 토시 (작업용 보조소매) 일반용 20cm x 40cm,토시(작업용 보조소매),,,토시(작업용 보조소매),,,구분=업소/업자|:|이름=한국후디스|:|주소=부산광역시 진구 연지동 50-15,국내제품,제조국=대한민국(국산),한국후디스,후디스|:|FOODIS,단일,규격=일반용 약 20cm(가로) x 약40cm(세로),,1,,50.0,13.8,1.5,38.8,,봉지형,포장재질 :: 폴리프로필렌(포장내면),비닐류(PP),N,N,,,,# 특제품,"# 포장단위 : 1켤레(2짝)
# 한국후디스
_ HankookFoodis Co., Ltd.",,2023-06-26 15:43:27,2023-07-08 07:00:07,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8_front_angle_1000.jpg?alt=media&token=045db91f-6b25-4b76-82d5-4035c09c0350,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8_front_angle_1000.png?alt=media&token=a76df6d3-2ea2-4784-86cf-a08b2f168663,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8_front_angle_250.jpg?alt=media&token=414eadfa-ce17-42bd-82ea-9f923008d0c9,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8%2Fd450b3e2-7ec9-4fed-24e0-5e07babe02a8_front_angle_250.png?alt=media&token=97d2da8c-6495-4694-b799-ba2719e7820a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,화이트;스카이블루,,스트라이프,,,,,,,,,,,,,,,,,,,,,,,,,왼손;오른손,,,,,,,,,,,N,,,"재질 :: C.V.A원단 (면, 폴리에스텔 혼합)","# 사무실, 학교, 미술학원, 붓, 펜글씨학원 및 작업상 옷이 더럽혀질 일을 많이 하시는분",http://www.gofoodis.co.kr,,,,,,,,,,# 고급 나염원단을 소재로 만든 후디스 토시는 깔끔한 사무실 및 작업실에서는 멋진패션으로도 가치를 나타냅니다.,,
8809404601064,11060508,패션잡화>여성신발>샌들/슬리퍼>슬리퍼,PVC 쿠션왕 삼선 슬리퍼 230mm,PVC 쿠션왕 삼선 슬리퍼 230mm,,,,,,구분=제조/생산|:|이름=주식회사 진양|:|주소=경기도 양주시 은현면 그루고개로 306-21,국내제품,원산지=,주식회사 진양,,단일,규격=230mm,,1,,400.0,38.5,16.2,6.5,,기타유형,,비닐류(PP),N,N,"[[주의사항]]
# 기름 및 물기가 많은 곳에서는 미끄럼에 주의하시기 바랍니다.
# 직사광선, 화기, 열기 등에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 제품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,,,"# KING
_ KOREA HOUSE",,2023-11-22 14:06:13,2023-12-09 07:00:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8_front_angle_1000.jpg?alt=media&token=e4d88cb4-3924-4fc2-93ff-cf645c2d25ad,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8_front_angle_1000.png?alt=media&token=e13ac542-6c76-4323-a61a-65aa58c89cc9,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8_front_angle_250.jpg?alt=media&token=11bfef47-b2bf-4c16-bca4-95a2316da51f,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8%2F3c093f54-85bb-4bdb-cad0-3cfb8def24d8_front_angle_250.png?alt=media&token=48cf0eb5-5ba9-48c2-b092-f7e86ec75a59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,재질 :: PVC,,,100.0,-40.0,,,,,,,,,,
8809404600920,11060508,패션잡화>여성신발>샌들/슬리퍼>슬리퍼,KOREA HOUSE EVA 쿠션왕 통삼선 슬리퍼 240mm,EVA 쿠션왕 통삼선 슬리퍼 240mm,EVA Cushion King 3L Slipper,,EVA 쿠션왕 통삼선 슬리퍼 240mm,,,"구분=제조/생산|:|이름=FUZHOU PROSPEROUS YEAR I/E CO.,LTD.|:|주소=
구분=수입판매|:|이름=케이티무역(주) KㆍT TRADING CO.,LTD.|:|주소=경기도 광주시 곤지암읍 경충대로 187-26",수입제품,원산지=중국,"케이티무역(주) KㆍT TRADING CO.,LTD.",KOREA HOUSE,단일,규격=240(mm),,1,,190.0,39.8,19.7,9.0,,기타유형,,비닐류(PE),N,N,"[[기타 주의사항]]
# 기름이나 물기가 많은 곳에서 미끄럼에 주의하십시오.
# 직사광선에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 상품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.
# 본 상품은 디자인등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,"031-765-2215 (전화), 031-765-2216 (팩스) (케이티무역(주))",,# 사용연령 : 만 14세 이상 사용권장,,2023-11-22 14:25:37,2023-12-09 07:00:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd5b1d1be-68be-430d-d559-00348de44424%2Fd5b1d1be-68be-430d-d559-00348de44424_front_angle_1000.jpg?alt=media&token=e8a8eb2c-851e-4ac2-9aff-30efe4aef425,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd5b1d1be-68be-430d-d559-00348de44424%2Fd5b1d1be-68be-430d-d559-00348de44424_front_angle_1000.png?alt=media&token=a04733cf-a850-4adc-a949-45ecc4a57dd9,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd5b1d1be-68be-430d-d559-00348de44424%2Fd5b1d1be-68be-430d-d559-00348de44424_front_angle_250.jpg?alt=media&token=9a3d663b-e8e2-449d-8df2-ad7cef6ed0ad,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2Fd5b1d1be-68be-430d-d559-00348de44424%2Fd5b1d1be-68be-430d-d559-00348de44424_front_angle_250.png?alt=media&token=2ef283f1-0ff1-46e4-acf7-60efaf39e033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,재질 :: EVA,,"www.kt01.co.kr, www.ekttrading.com",,,,,,,,,,,,
8809404600937,11060508,패션잡화>여성신발>샌들/슬리퍼>슬리퍼,KOREA HOUSE EVA 쿠션왕 통삼선 슬리퍼 250mm,EVA 쿠션왕 통삼선 슬리퍼 250mm,EVA Cushion King 3L Slipper,,EVA 쿠션왕 통삼선 슬리퍼 250mm,,,"구분=제조/생산|:|이름=FUZHOU PROSPEROUS YEAR I/E CO.,LTD.|:|주소=
구분=수입판매|:|이름=케이티무역(주) KㆍT TRADING CO.,LTD.|:|주소=경기도 광주시 곤지암읍 경충대로 187-26",수입제품,원산지=중국,"케이티무역(주) KㆍT TRADING CO.,LTD.",KOREA HOUSE,단일,규격=250(mm),,1,,200.0,42.7,20.8,9.0,,기타유형,,비닐류(PE),N,N,"[[기타 주의사항]]
# 기름이나 물기가 많은 곳에서 미끄럼에 주의하십시오.
# 직사광선에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 상품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.
# 본 상품은 디자인등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,"031-765-2215 (전화), 031-765-2216 (팩스) (케이티무역(주))",,# 사용연령 : 만 14세 이상 사용권장,,2023-11-22 14:29:24,2023-12-09 07:00:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F4d2db771-03f8-48aa-d9f9-fb49976bd426%2F4d2db771-03f8-48aa-d9f9-fb49976bd426_front_angle_1000.jpg?alt=media&token=b7b3f3cc-2590-436a-be1d-cb9d701ad854,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F4d2db771-03f8-48aa-d9f9-fb49976bd426%2F4d2db771-03f8-48aa-d9f9-fb49976bd426_front_angle_1000.png?alt=media&token=54ca4e7e-6c3d-4490-85da-4f476b8e9d2c,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F4d2db771-03f8-48aa-d9f9-fb49976bd426%2F4d2db771-03f8-48aa-d9f9-fb49976bd426_front_angle_250.jpg?alt=media&token=53483d54-f0c6-4a0c-8394-31e71120640f,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F4d2db771-03f8-48aa-d9f9-fb49976bd426%2F4d2db771-03f8-48aa-d9f9-fb49976bd426_front_angle_250.png?alt=media&token=5fe30452-1144-41b3-bca7-46bcc2ad99d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,재질 :: EVA,,"www.kt01.co.kr, www.ekttrading.com",,,,,,,,,,,,
8809404600944,11020303,패션잡화>남성신발>스니커즈/슬립온/슬리퍼>슬리퍼,KOREA HOUSE EVA 쿠션왕 통삼선 슬리퍼 260mm,EVA 쿠션왕 통삼선 슬리퍼 260mm,EVA Cushion King 3L Slipper,,EVA 쿠션왕 통삼선 슬리퍼 260mm,,,"구분=제조/생산|:|이름=FUZHOU PROSPEROUS YEAR I/E CO.,LTD.|:|주소=
구분=수입판매|:|이름=케이티무역(주) KㆍT TRADING CO.,LTD.|:|주소=경기도 광주시 곤지암읍 경충대로 187-26",수입제품,원산지=중국,"케이티무역(주) KㆍT TRADING CO.,LTD.",KOREA HOUSE,단일,규격=260(mm),,1,,210.0,43.2,20.8,8.7,,기타유형,,비닐류(PE),N,N,"[[기타 주의사항]]
# 기름이나 물기가 많은 곳에서 미끄럼에 주의하십시오.
# 직사광선에 장시간 노출시킬 경우 제품에 변형이 생길 수 있습니다.
# 본 상품은 상표등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.
# 본 상품은 디자인등록제품으로 무단복제시 법적 처벌을 받을 수 있습니다.",,"031-765-2215 (전화), 031-765-2216 (팩스) (케이티무역(주))",,# 사용연령 : 만 14세 이상 사용권장,,2023-11-22 14:43:59,2023-12-09 07:00:06,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539_front_angle_1000.jpg?alt=media&token=5c296f5d-0c4a-421d-8ce5-d11144f1d2b2,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539_front_angle_1000.png?alt=media&token=c0fe830f-190e-43b7-aa4f-e0210b13d069,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539_front_angle_250.jpg?alt=media&token=3f8110ae-9a88-4219-af85-73cee2997439,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539%2F896623f1-69d6-4ca4-c3bc-42ea1ac89539_front_angle_250.png?alt=media&token=14c682f2-75b2-4e72-9644-8f9b3f0b076d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA,,,,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,재질 :: EVA,,"www.kt01.co.kr, www.ekttrading.com",,,,,,,,,,,,
